step,event,throughput,memory_monolithic,memory_paged,memory_paged_compressed,fragmentation_monolithic,fragmentation_paged,fragmentation_paged_compressed
3036,"{'op': 'alloc', 'id': 2676, 'size': 20}",20,4096,4096,2048.0,0.0,0.0,0.0
3037,"{'op': 'alloc', 'id': 2677, 'size': 7}",7,4096,4096,2048.0,0.0,0.0,0.0
3038,"{'op': 'free', 'id': 2660}",0,4096,4096,2048.0,0.0,0.0,0.0
3039,"{'op': 'free', 'id': 2662}",0,4096,4096,2048.0,0.0,0.0,0.0
3040,"{'op': 'alloc', 'id': 2679, 'size': 31}",31,4096,4096,2048.0,0.0,0.0,0.0
3041,"{'op': 'alloc', 'id': 2680, 'size': 24}",24,4096,4096,2048.0,0.0,0.0,0.0
3042,"{'op': 'free', 'id': 2649}",0,4096,4096,2048.0,0.0,0.0,0.0
3043,"{'op': 'alloc', 'id': 2681, 'size': 23}",23,4096,4096,2048.0,0.0,0.0,0.0
3044,"{'op': 'alloc', 'id': 2682, 'size': 19}",19,4096,4096,2048.0,0.0,0.0,0.0
3045,"{'op': 'alloc', 'id': 2683, 'size': 3}",3,4096,4096,2048.0,0.0,0.0,0.0
3046,"{'op': 'alloc', 'id': 2684, 'size': 27}",27,4096,4096,2048.0,0.0,0.0,0.0
3047,"{'op': 'alloc', 'id': 2685, 'size': 16}",16,4096,4096,2048.0,0.0,0.0,0.0
3048,"{'op': 'free', 'id': 2650}",0,4096,4096,2048.0,0.0,0.0,0.0
3049,"{'op': 'free', 'id': 2671}",0,4096,4096,2048.0,0.0,0.0,0.0
3050,"{'op': 'alloc', 'id': 2686, 'size': 12}",12,4096,4096,2048.0,0.0,0.0,0.0
3051,"{'op': 'alloc', 'id': 2687, 'size': 24}",24,4096,4096,2048.0,0.0,0.0,0.0
3052,"{'op': 'free', 'id': 2667}",0,4096,4096,2048.0,0.0,0.0,0.0
3053,"{'op': 'alloc', 'id': 2689, 'size': 1}",1,4096,4096,2048.0,0.0,0.0,0.0
3054,"{'op': 'alloc', 'id': 2690, 'size': 10}",10,4096,4096,2048.0,0.0,0.0,0.0
3055,"{'op': 'alloc', 'id': 2691, 'size': 10}",10,4096,4096,2048.0,0.0,0.0,0.0
3056,"{'op': 'alloc', 'id': 2692, 'size': 5}",5,4096,4096,2048.0,0.0,0.0,0.0
3057,"{'op': 'alloc', 'id': 2693, 'size': 17}",17,4096,4096,2048.0,0.0,0.0,0.0
3058,"{'op': 'alloc', 'id': 2694, 'size': 21}",21,4096,4096,2048.0,0.0,0.0,0.0
3059,"{'op': 'alloc', 'id': 2695, 'size': 9}",9,4096,4096,2048.0,0.0,0.0,0.0
3060,"{'op': 'alloc', 'id': 2696, 'size': 3}",3,4096,4096,2048.0,0.0,0.0,0.0
3061,"{'op': 'alloc', 'id': 2697, 'size': 5}",5,4096,4096,2048.0,0.0,0.0,0.0
3062,"{'op': 'alloc', 'id': 2698, 'size': 20}",20,4096,4096,2048.0,0.0,0.0,0.0
3063,"{'op': 'alloc', 'id': 2699, 'size': 8}",8,4096,4096,2048.0,0.0,0.0,0.0
3064,"{'op': 'alloc', 'id': 2700, 'size': 31}",31,4096,4096,2048.0,0.0,0.0,0.0
3065,"{'op': 'free', 'id': 2685}",0,4096,4096,2048.0,0.0,0.0,0.0
3066,"{'op': 'free', 'id': 2669}",0,4096,4096,2048.0,0.0,0.0,0.0
3067,"{'op': 'alloc', 'id': 2701, 'size': 26}",26,4096,4096,2048.0,0.0,0.0,0.0
3068,"{'op': 'alloc', 'id': 2702, 'size': 3}",3,4096,4096,2048.0,0.0,0.0,0.0
3069,"{'op': 'alloc', 'id': 2703, 'size': 10}",10,4096,4096,2048.0,0.0,0.0,0.0
3070,"{'op': 'alloc', 'id': 2704, 'size': 12}",12,4096,4096,2048.0,0.0,0.0,0.0
3071,"{'op': 'alloc', 'id': 2705, 'size': 3}",3,4096,4096,2048.0,0.0,0.0,0.0
3072,"{'op': 'alloc', 'id': 2706, 'size': 12}",12,4096,4096,2048.0,0.0,0.0,0.0
3073,"{'op': 'alloc', 'id': 2707, 'size': 19}",19,4096,4096,2048.0,0.0,0.0,0.0
3074,"{'op': 'alloc', 'id': 2708, 'size': 13}",13,4096,4096,2048.0,0.0,0.0,0.0
3075,"{'op': 'alloc', 'id': 2709, 'size': 30}",30,4096,4096,2048.0,0.0,0.0,0.0
3076,"{'op': 'free', 'id': 2702}",0,4096,4096,2048.0,0.0,0.0,0.0
3077,"{'op': 'alloc', 'id': 2710, 'size': 20}",20,4096,4096,2048.0,0.0,0.0,0.0
3078,"{'op': 'alloc', 'id': 2711, 'size': 28}",28,4096,4096,2048.0,0.0,0.0,0.0
3079,"{'op': 'alloc', 'id': 2712, 'size': 23}",23,4096,4096,2048.0,0.0,0.0,0.0
3080,"{'op': 'alloc', 'id': 2713, 'size': 26}",26,4096,4096,2048.0,0.0,0.0,0.0
3081,"{'op': 'alloc', 'id': 2714, 'size': 19}",19,4096,4096,2048.0,0.0,0.0,0.0
3082,"{'op': 'alloc', 'id': 2715, 'size': 14}",14,4096,4096,2048.0,0.0,0.0,0.0
3083,"{'op': 'alloc', 'id': 2716, 'size': 11}",11,4096,4096,2048.0,0.0,0.0,0.0
3084,"{'op': 'alloc', 'id': 2717, 'size': 23}",23,4096,4096,2048.0,0.0,0.0,0.0
3085,"{'op': 'alloc', 'id': 2718, 'size': 31}",31,4096,4096,2048.0,0.0,0.0,0.0
3086,"{'op': 'alloc', 'id': 2719, 'size': 1}",1,4096,4096,2048.0,0.0,0.0,0.0
3087,"{'op': 'alloc', 'id': 2720, 'size': 24}",24,4096,4096,2048.0,0.0,0.0,0.0
3088,"{'op': 'alloc', 'id': 2721, 'size': 17}",17,4096,4096,2048.0,0.0,0.0,0.0
3089,"{'op': 'free', 'id': 2700}",0,4096,4096,2048.0,0.0,0.0,0.0
3090,"{'op': 'alloc', 'id': 2722, 'size': 32}",32,4096,4096,2048.0,0.0,0.0,0.0
3091,"{'op': 'alloc', 'id': 2723, 'size': 4}",4,4096,4096,2048.0,0.0,0.0,0.0
3092,"{'op': 'alloc', 'id': 2724, 'size': 19}",19,4096,4096,2048.0,0.0,0.0,0.0
3093,"{'op': 'alloc', 'id': 2725, 'size': 15}",15,4096,4096,2048.0,0.0,0.0,0.0
3094,"{'op': 'free', 'id': 2701}",0,4096,4096,2048.0,0.0,0.0,0.0
3095,"{'op': 'alloc', 'id': 2727, 'size': 21}",21,4096,4096,2048.0,0.0,0.0,0.0
3096,"{'op': 'free', 'id': 2709}",0,4096,4096,2048.0,0.0,0.0,0.0
3097,"{'op': 'alloc', 'id': 2729, 'size': 15}",15,4096,4096,2048.0,0.0,0.0,0.0
3098,"{'op': 'alloc', 'id': 2730, 'size': 21}",21,4096,4096,2048.0,0.0,0.0,0.0
3099,"{'op': 'alloc', 'id': 2731, 'size': 2}",2,4096,4096,2048.0,0.0,0.0,0.0
3100,"{'op': 'alloc', 'id': 2732, 'size': 24}",24,4096,4096,2048.0,0.0,0.0,0.0
3101,"{'op': 'alloc', 'id': 2733, 'size': 10}",10,4096,4096,2048.0,0.0,0.0,0.0
3102,"{'op': 'alloc', 'id': 2734, 'size': 25}",25,4096,4096,2048.0,0.0,0.0,0.0
3103,"{'op': 'alloc', 'id': 2735, 'size': 18}",18,4096,4096,2048.0,0.0,0.0,0.0
3104,"{'op': 'free', 'id': 2696}",0,4096,4096,2048.0,0.0,0.0,0.0
3105,"{'op': 'free', 'id': 2705}",0,4096,4096,2048.0,0.0,0.0,0.0
3106,"{'op': 'free', 'id': 2730}",0,4096,4096,2048.0,0.0,0.0,0.0
3107,"{'op': 'alloc', 'id': 2737, 'size': 32}",32,4096,4096,2048.0,0.0,0.0,0.0
3108,"{'op': 'alloc', 'id': 2738, 'size': 12}",12,4096,4096,2048.0,0.0,0.0,0.0
3109,"{'op': 'alloc', 'id': 2739, 'size': 29}",29,4096,4096,2048.0,0.0,0.0,0.0
3110,"{'op': 'alloc', 'id': 2740, 'size': 23}",23,4096,4096,2048.0,0.0,0.0,0.0
3111,"{'op': 'alloc', 'id': 2741, 'size': 6}",6,4096,4096,2048.0,0.0,0.0,0.0
3112,"{'op': 'alloc', 'id': 2742, 'size': 22}",22,4096,4096,2048.0,0.0,0.0,0.0
3113,"{'op': 'alloc', 'id': 2743, 'size': 5}",5,4096,4096,2048.0,0.0,0.0,0.0
3114,"{'op': 'alloc', 'id': 2744, 'size': 2}",2,4096,4096,2048.0,0.0,0.0,0.0
3115,"{'op': 'alloc', 'id': 2745, 'size': 31}",31,4096,4096,2048.0,0.0,0.0,0.0
3116,"{'op': 'free', 'id': 2720}",0,4096,4096,2048.0,0.0,0.0,0.0
3117,"{'op': 'alloc', 'id': 2747, 'size': 17}",17,4096,4096,2048.0,0.0,0.0,0.0
3118,"{'op': 'free', 'id': 2714}",0,4096,4096,2048.0,0.0,0.0,0.0
3119,"{'op': 'alloc', 'id': 2748, 'size': 5}",5,4096,4096,2048.0,0.0,0.0,0.0
3120,"{'op': 'alloc', 'id': 2749, 'size': 30}",30,4096,4096,2048.0,0.0,0.0,0.0
3121,"{'op': 'alloc', 'id': 2750, 'size': 21}",21,4096,4096,2048.0,0.0,0.0,0.0
3122,"{'op': 'free', 'id': 2745}",0,4096,4096,2048.0,0.0,0.0,0.0
3123,"{'op': 'alloc', 'id': 2751, 'size': 18}",18,4096,4096,2048.0,0.0,0.0,0.0
3124,"{'op': 'alloc', 'id': 2752, 'size': 11}",11,4096,4096,2048.0,0.0,0.0,0.0
3125,"{'op': 'alloc', 'id': 2753, 'size': 13}",13,4096,4096,2048.0,0.0,0.0,0.0
3126,"{'op': 'free', 'id': 2721}",0,4096,4096,2048.0,0.0,0.0,0.0
3127,"{'op': 'alloc', 'id': 2754, 'size': 20}",20,4096,4096,2048.0,0.0,0.0,0.0
3128,"{'op': 'alloc', 'id': 2755, 'size': 26}",26,4096,4096,2048.0,0.0,0.0,0.0
3129,"{'op': 'free', 'id': 2716}",0,4096,4096,2048.0,0.0,0.0,0.0
3130,"{'op': 'free', 'id': 2748}",0,4096,4096,2048.0,0.0,0.0,0.0
3131,"{'op': 'alloc', 'id': 2757, 'size': 24}",24,4096,4096,2048.0,0.0,0.0,0.0
3132,"{'op': 'alloc', 'id': 2758, 'size': 16}",16,4096,4096,2048.0,0.0,0.0,0.0
3133,"{'op': 'alloc', 'id': 2759, 'size': 5}",5,4096,4096,2048.0,0.0,0.0,0.0
3134,"{'op': 'alloc', 'id': 2760, 'size': 32}",32,4096,4096,2048.0,0.0,0.0,0.0
3135,"{'op': 'alloc', 'id': 2761, 'size': 4}",4,4096,4096,2048.0,0.0,0.0,0.0
3136,"{'op': 'free', 'id': 2755}",0,4096,4096,2048.0,0.0,0.0,0.0
3137,"{'op': 'free', 'id': 2749}",0,4096,4096,2048.0,0.0,0.0,0.0
3138,"{'op': 'alloc', 'id': 2762, 'size': 5}",5,4096,4096,2048.0,0.0,0.0,0.0
3139,"{'op': 'alloc', 'id': 2763, 'size': 9}",9,4096,4096,2048.0,0.0,0.0,0.0
3140,"{'op': 'alloc', 'id': 2764, 'size': 23}",23,4096,4096,2048.0,0.0,0.0,0.0
3141,"{'op': 'alloc', 'id': 2765, 'size': 5}",5,4096,4096,2048.0,0.0,0.0,0.0
3142,"{'op': 'alloc', 'id': 2766, 'size': 16}",16,4096,4096,2048.0,0.0,0.0,0.0
3143,"{'op': 'alloc', 'id': 2767, 'size': 14}",14,4096,4096,2048.0,0.0,0.0,0.0
3144,"{'op': 'alloc', 'id': 2768, 'size': 28}",28,4096,4096,2048.0,0.0,0.0,0.0
3145,"{'op': 'alloc', 'id': 2769, 'size': 28}",28,4096,4096,2048.0,0.0,0.0,0.0
3146,"{'op': 'alloc', 'id': 2770, 'size': 29}",29,4096,4096,2048.0,0.0,0.0,0.0
3147,"{'op': 'free', 'id': 2742}",0,4096,4096,2048.0,0.0,0.0,0.0
3148,"{'op': 'alloc', 'id': 2772, 'size': 19}",19,4096,4096,2048.0,0.0,0.0,0.0
3149,"{'op': 'alloc', 'id': 2773, 'size': 6}",6,4096,4096,2048.0,0.0,0.0,0.0
3150,"{'op': 'alloc', 'id': 2774, 'size': 21}",21,4096,4096,2048.0,0.0,0.0,0.0
3151,"{'op': 'alloc', 'id': 2775, 'size': 11}",11,4096,4096,2048.0,0.0,0.0,0.0
3152,"{'op': 'alloc', 'id': 2776, 'size': 5}",5,4096,4096,2048.0,0.0,0.0,0.0
3153,"{'op': 'alloc', 'id': 2777, 'size': 15}",15,4096,4096,2048.0,0.0,0.0,0.0
3154,"{'op': 'alloc', 'id': 2778, 'size': 7}",7,4096,4096,2048.0,0.0,0.0,0.0
3155,"{'op': 'alloc', 'id': 2779, 'size': 28}",28,4096,4096,2048.0,0.0,0.0,0.0
3156,"{'op': 'alloc', 'id': 2780, 'size': 28}",28,4096,4096,2048.0,0.0,0.0,0.0
3157,"{'op': 'alloc', 'id': 2781, 'size': 28}",28,4096,4096,2048.0,0.0,0.0,0.0
3158,"{'op': 'alloc', 'id': 2782, 'size': 23}",23,4096,4096,2048.0,0.0,0.0,0.0
3159,"{'op': 'free', 'id': 2769}",0,4096,4096,2048.0,0.0,0.0,0.0
3160,"{'op': 'alloc', 'id': 2784, 'size': 6}",6,4096,4096,2048.0,0.0,0.0,0.0
3161,"{'op': 'alloc', 'id': 2785, 'size': 19}",19,4096,4096,2048.0,0.0,0.0,0.0
3162,"{'op': 'alloc', 'id': 2786, 'size': 1}",1,4096,4096,2048.0,0.0,0.0,0.0
3163,"{'op': 'alloc', 'id': 2787, 'size': 15}",15,4096,4096,2048.0,0.0,0.0,0.0
3164,"{'op': 'alloc', 'id': 2788, 'size': 11}",11,4096,4096,2048.0,0.0,0.0,0.0
3165,"{'op': 'alloc', 'id': 2789, 'size': 10}",10,4096,4096,2048.0,0.0,0.0,0.0
3166,"{'op': 'alloc', 'id': 2790, 'size': 12}",12,4096,4096,2048.0,0.0,0.0,0.0
3167,"{'op': 'alloc', 'id': 2791, 'size': 5}",5,4096,4096,2048.0,0.0,0.0,0.0
3168,"{'op': 'free', 'id': 2773}",0,4096,4096,2048.0,0.0,0.0,0.0
3169,"{'op': 'alloc', 'id': 2792, 'size': 9}",9,4096,4096,2048.0,0.0,0.0,0.0
3170,"{'op': 'free', 'id': 2763}",0,4096,4096,2048.0,0.0,0.0,0.0
3171,"{'op': 'alloc', 'id': 2793, 'size': 29}",29,4096,4096,2048.0,0.0,0.0,0.0
3172,"{'op': 'alloc', 'id': 2794, 'size': 4}",4,4096,4096,2048.0,0.0,0.0,0.0
3173,"{'op': 'alloc', 'id': 2795, 'size': 19}",19,4096,4096,2048.0,0.0,0.0,0.0
3174,"{'op': 'alloc', 'id': 2796, 'size': 3}",3,4096,4096,2048.0,0.0,0.0,0.0
3175,"{'op': 'alloc', 'id': 2797, 'size': 16}",16,4096,4096,2048.0,0.0,0.0,0.0
3176,"{'op': 'alloc', 'id': 2798, 'size': 10}",10,4096,4096,2048.0,0.0,0.0,0.0
3177,"{'op': 'alloc', 'id': 2799, 'size': 28}",28,4096,4096,2048.0,0.0,0.0,0.0
3178,"{'op': 'free', 'id': 2760}",0,4096,4096,2048.0,0.0,0.0,0.0
3179,"{'op': 'alloc', 'id': 2800, 'size': 10}",10,4096,4096,2048.0,0.0,0.0,0.0
3180,"{'op': 'alloc', 'id': 2801, 'size': 27}",27,4096,4096,2048.0,0.0,0.0,0.0
3181,"{'op': 'alloc', 'id': 2802, 'size': 26}",26,4096,4096,2048.0,0.0,0.0,0.0
3182,"{'op': 'free', 'id': 2786}",0,4096,4096,2048.0,0.0,0.0,0.0
3183,"{'op': 'free', 'id': 2767}",0,4096,4096,2048.0,0.0,0.0,0.0
3184,"{'op': 'alloc', 'id': 2805, 'size': 6}",6,4096,4096,2048.0,0.0,0.0,0.0
3185,"{'op': 'free', 'id': 2785}",0,4096,4096,2048.0,0.0,0.0,0.0
3186,"{'op': 'free', 'id': 2781}",0,4096,4096,2048.0,0.0,0.0,0.0
3187,"{'op': 'alloc', 'id': 2807, 'size': 11}",11,4096,4096,2048.0,0.0,0.0,0.0
3188,"{'op': 'free', 'id': 2772}",0,4096,4096,2048.0,0.0,0.0,0.0
3189,"{'op': 'alloc', 'id': 2809, 'size': 4}",4,4096,4096,2048.0,0.0,0.0,0.0
3190,"{'op': 'alloc', 'id': 2810, 'size': 15}",15,4096,4096,2048.0,0.0,0.0,0.0
3191,"{'op': 'alloc', 'id': 2811, 'size': 23}",23,4096,4096,2048.0,0.0,0.0,0.0
3192,"{'op': 'alloc', 'id': 2812, 'size': 15}",15,4096,4096,2048.0,0.0,0.0,0.0
3193,"{'op': 'alloc', 'id': 2813, 'size': 13}",13,4096,4096,2048.0,0.0,0.0,0.0
3194,"{'op': 'free', 'id': 2776}",0,4096,4096,2048.0,0.0,0.0,0.0
3195,"{'op': 'alloc', 'id': 2815, 'size': 3}",3,4096,4096,2048.0,0.0,0.0,0.0
3196,"{'op': 'alloc', 'id': 2816, 'size': 6}",6,4096,4096,2048.0,0.0,0.0,0.0
3197,"{'op': 'free', 'id': 2774}",0,4096,4096,2048.0,0.0,0.0,0.0
3198,"{'op': 'free', 'id': 2813}",0,4096,4096,2048.0,0.0,0.0,0.0
3199,"{'op': 'alloc', 'id': 2819, 'size': 29}",29,4096,4096,2048.0,0.0,0.0,0.0
3200,"{'op': 'free', 'id': 2777}",0,4096,4096,2048.0,0.0,0.0,0.0
3201,"{'op': 'alloc', 'id': 2821, 'size': 23}",23,4096,4096,2048.0,0.0,0.0,0.0
3202,"{'op': 'alloc', 'id': 2822, 'size': 13}",13,4096,4096,2048.0,0.0,0.0,0.0
3203,"{'op': 'alloc', 'id': 2823, 'size': 10}",10,4096,4096,2048.0,0.0,0.0,0.0
3204,"{'op': 'free', 'id': 2797}",0,4096,4096,2048.0,0.0,0.0,0.0
3205,"{'op': 'alloc', 'id': 2824, 'size': 26}",26,4096,4096,2048.0,0.0,0.0,0.0
3206,"{'op': 'alloc', 'id': 2825, 'size': 32}",32,4096,4096,2048.0,0.0,0.0,0.0
3207,"{'op': 'alloc', 'id': 2826, 'size': 29}",29,4096,4096,2048.0,0.0,0.0,0.0
3208,"{'op': 'alloc', 'id': 2827, 'size': 1}",1,4096,4096,2048.0,0.0,0.0,0.0
3209,"{'op': 'free', 'id': 2801}",0,4096,4096,2048.0,0.0,0.0,0.0
3210,"{'op': 'alloc', 'id': 2829, 'size': 29}",29,4096,4096,2048.0,0.0,0.0,0.0
3211,"{'op': 'alloc', 'id': 2830, 'size': 13}",13,4096,4096,2048.0,0.0,0.0,0.0
3212,"{'op': 'free', 'id': 2794}",0,4096,4096,2048.0,0.0,0.0,0.0
3213,"{'op': 'alloc', 'id': 2832, 'size': 14}",14,4096,4096,2048.0,0.0,0.0,0.0
3214,"{'op': 'alloc', 'id': 2833, 'size': 5}",5,4096,4096,2048.0,0.0,0.0,0.0
3215,"{'op': 'alloc', 'id': 2834, 'size': 13}",13,4096,4096,2048.0,0.0,0.0,0.0
3216,"{'op': 'alloc', 'id': 2835, 'size': 19}",19,4096,4096,2048.0,0.0,0.0,0.0
3217,"{'op': 'free', 'id': 2826}",0,4096,4096,2048.0,0.0,0.0,0.0
3218,"{'op': 'alloc', 'id': 2837, 'size': 16}",16,4096,4096,2048.0,0.0,0.0,0.0
3219,"{'op': 'alloc', 'id': 2838, 'size': 2}",2,4096,4096,2048.0,0.0,0.0,0.0
3220,"{'op': 'alloc', 'id': 2839, 'size': 19}",19,4096,4096,2048.0,0.0,0.0,0.0
3221,"{'op': 'alloc', 'id': 2840, 'size': 9}",9,4096,4096,2048.0,0.0,0.0,0.0
3222,"{'op': 'alloc', 'id': 2841, 'size': 23}",23,4096,4096,2048.0,0.0,0.0,0.0
3223,"{'op': 'free', 'id': 2810}",0,4096,4096,2048.0,0.0,0.0,0.0
3224,"{'op': 'free', 'id': 2836}",0,4096,4096,2048.0,0.0,0.0,0.0
3225,"{'op': 'alloc', 'id': 2843, 'size': 18}",18,4096,4096,2048.0,0.0,0.0,0.0
3226,"{'op': 'free', 'id': 2800}",0,4096,4096,2048.0,0.0,0.0,0.0
3227,"{'op': 'free', 'id': 2808}",0,4096,4096,2048.0,0.0,0.0,0.0
3228,"{'op': 'alloc', 'id': 2846, 'size': 12}",12,4096,4096,2048.0,0.0,0.0,0.0
3229,"{'op': 'alloc', 'id': 2847, 'size': 1}",1,4096,4096,2048.0,0.0,0.0,0.0
3230,"{'op': 'free', 'id': 2820}",0,4096,4096,2048.0,0.0,0.0,0.0
3231,"{'op': 'free', 'id': 2809}",0,4096,4096,2048.0,0.0,0.0,0.0
3232,"{'op': 'alloc', 'id': 2849, 'size': 14}",14,4096,4096,2048.0,0.0,0.0,0.0
3233,"{'op': 'alloc', 'id': 2850, 'size': 8}",8,4096,4096,2048.0,0.0,0.0,0.0
3234,"{'op': 'alloc', 'id': 2851, 'size': 21}",21,4096,4096,2048.0,0.0,0.0,0.0
3235,"{'op': 'alloc', 'id': 2852, 'size': 25}",25,4096,4096,2048.0,0.0,0.0,0.0
3236,"{'op': 'alloc', 'id': 2853, 'size': 18}",18,4096,4096,2048.0,0.0,0.0,0.0
3237,"{'op': 'alloc', 'id': 2854, 'size': 26}",26,4096,4096,2048.0,0.0,0.0,0.0
3238,"{'op': 'alloc', 'id': 2855, 'size': 14}",14,4096,4096,2048.0,0.0,0.0,0.0
3239,"{'op': 'alloc', 'id': 2856, 'size': 15}",15,4096,4096,2048.0,0.0,0.0,0.0
3240,"{'op': 'free', 'id': 2843}",0,4096,4096,2048.0,0.0,0.0,0.0
3241,"{'op': 'alloc', 'id': 2858, 'size': 21}",21,4096,4096,2048.0,0.0,0.0,0.0
3242,"{'op': 'alloc', 'id': 2859, 'size': 12}",12,4096,4096,2048.0,0.0,0.0,0.0
3243,"{'op': 'alloc', 'id': 2860, 'size': 32}",32,4096,4096,2048.0,0.0,0.0,0.0
3244,"{'op': 'free', 'id': 2853}",0,4096,4096,2048.0,0.0,0.0,0.0
3245,"{'op': 'free', 'id': 2849}",0,4096,4096,2048.0,0.0,0.0,0.0
3246,"{'op': 'alloc', 'id': 2862, 'size': 32}",32,4096,4096,2048.0,0.0,0.0,0.0
3247,"{'op': 'alloc', 'id': 2863, 'size': 6}",6,4096,4096,2048.0,0.0,0.0,0.0
3248,"{'op': 'alloc', 'id': 2864, 'size': 5}",5,4096,4096,2048.0,0.0,0.0,0.0
3249,"{'op': 'alloc', 'id': 2865, 'size': 26}",26,4096,4096,2048.0,0.0,0.0,0.0
3250,"{'op': 'alloc', 'id': 2866, 'size': 30}",30,4096,4096,2048.0,0.0,0.0,0.0
3251,"{'op': 'alloc', 'id': 2867, 'size': 14}",14,4096,4096,2048.0,0.0,0.0,0.0
3252,"{'op': 'alloc', 'id': 2868, 'size': 16}",16,4096,4096,2048.0,0.0,0.0,0.0
3253,"{'op': 'alloc', 'id': 2869, 'size': 6}",6,4096,4096,2048.0,0.0,0.0,0.0
3254,"{'op': 'alloc', 'id': 2870, 'size': 17}",17,4096,4096,2048.0,0.0,0.0,0.0
3255,"{'op': 'free', 'id': 2827}",0,4096,4096,2048.0,0.0,0.0,0.0
3256,"{'op': 'free', 'id': 2863}",0,4096,4096,2048.0,0.0,0.0,0.0
3257,"{'op': 'alloc', 'id': 2871, 'size': 12}",12,4096,4096,2048.0,0.0,0.0,0.0
3258,"{'op': 'free', 'id': 2864}",0,4096,4096,2048.0,0.0,0.0,0.0
3259,"{'op': 'alloc', 'id': 2873, 'size': 4}",4,4096,4096,2048.0,0.0,0.0,0.0
3260,"{'op': 'free', 'id': 2842}",0,4096,4096,2048.0,0.0,0.0,0.0
3261,"{'op': 'alloc', 'id': 2874, 'size': 9}",9,4096,4096,2048.0,0.0,0.0,0.0
3262,"{'op': 'alloc', 'id': 2875, 'size': 3}",3,4096,4096,2048.0,0.0,0.0,0.0
3263,"{'op': 'free', 'id': 2860}",0,4096,4096,2048.0,0.0,0.0,0.0
3264,"{'op': 'alloc', 'id': 2877, 'size': 13}",13,4096,4096,2048.0,0.0,0.0,0.0
3265,"{'op': 'alloc', 'id': 2878, 'size': 20}",20,4096,4096,2048.0,0.0,0.0,0.0
3266,"{'op': 'alloc', 'id': 2879, 'size': 8}",8,4096,4096,2048.0,0.0,0.0,0.0
3267,"{'op': 'alloc', 'id': 2880, 'size': 30}",30,4096,4096,2048.0,0.0,0.0,0.0
3268,"{'op': 'free', 'id': 2845}",0,4096,4096,2048.0,0.0,0.0,0.0
3269,"{'op': 'alloc', 'id': 2881, 'size': 28}",28,4096,4096,2048.0,0.0,0.0,0.0
3270,"{'op': 'alloc', 'id': 2882, 'size': 5}",5,4096,4096,2048.0,0.0,0.0,0.0
3271,"{'op': 'alloc', 'id': 2883, 'size': 17}",17,4096,4096,2048.0,0.0,0.0,0.0
3272,"{'op': 'alloc', 'id': 2884, 'size': 26}",26,4096,4096,2048.0,0.0,0.0,0.0
3273,"{'op': 'free', 'id': 2855}",0,4096,4096,2048.0,0.0,0.0,0.0
3274,"{'op': 'free', 'id': 2858}",0,4096,4096,2048.0,0.0,0.0,0.0
3275,"{'op': 'alloc', 'id': 2885, 'size': 10}",10,4096,4096,2048.0,0.0,0.0,0.0
3276,"{'op': 'alloc', 'id': 2886, 'size': 3}",3,4096,4096,2048.0,0.0,0.0,0.0
3277,"{'op': 'alloc', 'id': 2887, 'size': 2}",2,4096,4096,2048.0,0.0,0.0,0.0
3278,"{'op': 'free', 'id': 2857}",0,4096,4096,2048.0,0.0,0.0,0.0
3279,"{'op': 'alloc', 'id': 2888, 'size': 27}",27,4096,4096,2048.0,0.0,0.0,0.0
3280,"{'op': 'alloc', 'id': 2889, 'size': 2}",2,4096,4096,2048.0,0.0,0.0,0.0
3281,"{'op': 'free', 'id': 2851}",0,4096,4096,2048.0,0.0,0.0,0.0
3282,"{'op': 'free', 'id': 2884}",0,4096,4096,2048.0,0.0,0.0,0.0
3283,"{'op': 'alloc', 'id': 2891, 'size': 2}",2,4096,4096,2048.0,0.0,0.0,0.0
3284,"{'op': 'alloc', 'id': 2892, 'size': 6}",6,4096,4096,2048.0,0.0,0.0,0.0
3285,"{'op': 'alloc', 'id': 2893, 'size': 6}",6,4096,4096,2048.0,0.0,0.0,0.0
3286,"{'op': 'free', 'id': 2872}",0,4096,4096,2048.0,0.0,0.0,0.0
3287,"{'op': 'alloc', 'id': 2894, 'size': 20}",20,4096,4096,2048.0,0.0,0.0,0.0
3288,"{'op': 'alloc', 'id': 2895, 'size': 23}",23,4096,4096,2048.0,0.0,0.0,0.0
3289,"{'op': 'alloc', 'id': 2896, 'size': 16}",16,4096,4096,2048.0,0.0,0.0,0.0
3290,"{'op': 'alloc', 'id': 2897, 'size': 15}",15,4096,4096,2048.0,0.0,0.0,0.0
3291,"{'op': 'alloc', 'id': 2898, 'size': 12}",12,4096,4096,2048.0,0.0,0.0,0.0
3292,"{'op': 'free', 'id': 2888}",0,4096,4096,2048.0,0.0,0.0,0.0
3293,"{'op': 'alloc', 'id': 2900, 'size': 9}",9,4096,4096,2048.0,0.0,0.0,0.0
3294,"{'op': 'alloc', 'id': 2901, 'size': 25}",25,4096,4096,2048.0,0.0,0.0,0.0
3295,"{'op': 'alloc', 'id': 2902, 'size': 29}",29,4096,4096,2048.0,0.0,0.0,0.0
3296,"{'op': 'alloc', 'id': 2903, 'size': 27}",27,4096,4096,2048.0,0.0,0.0,0.0
3297,"{'op': 'alloc', 'id': 2904, 'size': 1}",1,4096,4096,2048.0,0.0,0.0,0.0
3298,"{'op': 'alloc', 'id': 2905, 'size': 5}",5,4096,4096,2048.0,0.0,0.0,0.0
