step,event,throughput,memory_monolithic,memory_paged,memory_paged_compressed,fragmentation_monolithic,fragmentation_paged,fragmentation_paged_compressed
60,"{'op': 'alloc', 'id': 57, 'size': 29}",29,664,1280,1280.0,0.0,0.6875,0.6875
61,"{'op': 'alloc', 'id': 58, 'size': 28}",28,692,1312,1312.0,0.0,0.6796875,0.6796875
62,"{'op': 'alloc', 'id': 59, 'size': 6}",6,698,1344,1344.0,0.0,0.671875,0.671875
63,"{'op': 'free', 'id': 41}",0,695,1312,1312.0,0.0,0.6796875,0.6796875
64,"{'op': 'alloc', 'id': 60, 'size': 15}",15,710,1344,1344.0,0.0,0.671875,0.671875
65,"{'op': 'alloc', 'id': 61, 'size': 25}",25,735,1376,1376.0,0.0,0.6640625,0.6640625
66,"{'op': 'alloc', 'id': 62, 'size': 12}",12,747,1408,1408.0,0.0,0.65625,0.65625
67,"{'op': 'alloc', 'id': 63, 'size': 21}",21,768,1440,1440.0,0.0,0.6484375,0.6484375
68,"{'op': 'alloc', 'id': 64, 'size': 15}",15,783,1472,1472.0,0.0,0.640625,0.640625
69,"{'op': 'alloc', 'id': 65, 'size': 29}",29,812,1504,1504.0,0.0,0.6328125,0.6328125
70,"{'op': 'alloc', 'id': 66, 'size': 10}",10,822,1536,1536.0,0.0,0.625,0.625
71,"{'op': 'alloc', 'id': 67, 'size': 10}",10,832,1568,1568.0,0.0,0.6171875,0.6171875
72,"{'op': 'alloc', 'id': 68, 'size': 19}",19,851,1600,1600.0,0.0,0.609375,0.609375
73,"{'op': 'alloc', 'id': 69, 'size': 11}",11,862,1632,1632.0,0.0,0.6015625,0.6015625
74,"{'op': 'alloc', 'id': 70, 'size': 19}",19,881,1664,1664.0,0.0,0.59375,0.59375
75,"{'op': 'alloc', 'id': 71, 'size': 2}",2,883,1696,1696.0,0.0,0.5859375,0.5859375
76,"{'op': 'alloc', 'id': 72, 'size': 13}",13,896,1728,1728.0,0.0,0.578125,0.578125
77,"{'op': 'free', 'id': 36}",0,896,1728,1728.0,0.0,0.578125,0.578125
78,"{'op': 'free', 'id': 48}",0,867,1696,1696.0,0.0,0.5859375,0.5859375
79,"{'op': 'alloc', 'id': 74, 'size': 32}",32,899,1728,1728.0,0.0,0.578125,0.578125
80,"{'op': 'alloc', 'id': 75, 'size': 13}",13,912,1760,1760.0,0.0,0.5703125,0.5703125
81,"{'op': 'alloc', 'id': 76, 'size': 9}",9,921,1792,1792.0,0.0,0.5625,0.5625
82,"{'op': 'alloc', 'id': 77, 'size': 25}",25,946,1824,1824.0,0.0,0.5546875,0.5546875
